연도,월,일,수익/지출,금액,대분류,소분류,항목명,평가,동백전유무,고정지출
2022,7,22,수익,1900000,대출,대출,"누나,형",킹쩔수없음,N,N
2022,7,23,지출,900000,보증금,보증금,12개월적금,킹쩔수없음,N,N
2022,7,23,지출,110000,공인중개비,공인중개비,공인중개비,킹쩔수없음,N,N
2022,7,23,지출,300000,월세,월세,월세,킹쩔수없음,N,Y
2022,7,23,지출,12500,식비,외식,김가네,괜찮,N,N
2022,7,23,지출,3500,생필품,도구,드라이버,훌륭,N,N
2022,7,23,지출,2500,생필품,주방,행주,애매,N,N
2022,7,23,지출,4400,생필품,도구,빗자루,괜찮,N,N
2022,7,23,지출,13843,가구,가구,식탁,괜찮,N,N
2022,7,23,지출,3520,생필품,전자제품,lan선,흑우,N,N
2022,7,23,지출,12500,생필품,도구,밀대걸레,훌륭,N,N
2022,7,23,지출,31517,생필품,도구,수건,괜찮,N,N
2022,7,23,지출,2000,식비,커피,히스피,애매,Y,N
2022,7,23,지출,12900,생필품,도구,"빗자루, 쓰레기통",왜샀노,Y,N
2022,7,24,지출,38920,생필품,도구,도구류,괜찮,Y,N
2022,7,24,지출,2000,식비,커피,히스피,왜샀노,Y,N
2022,7,24,지출,9500,식비,외식,김가네,애매,N,N
2022,7,24,지출,23750,생필품,욕실,욕실류,훌륭,N,N
2022,7,24,지출,99880,통신,통신,kt,킹쩔수없음,N,Y
2022,7,24,지출,12000,생필품,도구,도구류,괜찮,N,N
2022,7,25,지출,109750,가구,가구,매트리스,괜찮,N,N
2022,7,25,지출,2400,구글플레이,구글플레이,구글,킹쩔수없음,N,Y
2022,7,25,지출,6650,식비,외식,CU,애매,Y,N
2022,7,24,지출,4500,식비,커피,컴포즈커피,애매,Y,N
2022,7,25,지출,1800,식비,커피,니뜨내뜨,왜샀노,Y,N
2022,7,25,지출,27640,식비,집밥,식품류,괜찮,N,N
2022,7,25,지출,7400,생필품,도구,식칼,괜찮,N,N
2022,7,26,지출,1500,식비,외식,아침,괜찮,Y,N
2022,7,26,지출,4200,식비,커피,하이오,애매,Y,N
2022,7,27,지출,1500,식비,커피,컴포즈,애매,Y,N
2022,7,26,지출,6200,식비,외식,버거킹,괜찮,N,N
2022,7,26,지출,17000,생필품,주방,다이소,훌륭,N,N
2022,7,27,지출,10840,식비,집밥,우리마트,괜찮,N,N
2022,7,28,지출,9970,식비,집밥,우리마트,훌륭,N,N
